iteration,x1,x2,f_value
0,1.0,1.0,3.0
1,0.7,1.0,2.19
2,0.45999999999999996,1.0,1.6716
3,0.26799999999999996,1.0,1.339824
4,0.11439999999999995,1.0,1.12748736
5,-0.008480000000000043,1.0,0.9915919103999999
6,-0.10678400000000005,1.0,0.9046188226559999
7,-0.18542720000000004,1.0,0.84895604649984
8,-0.24834176000000002,1.0,0.8133318697598976
9,-0.29867340800000003,1.0,0.7905323966463345
10,-0.3389387264,1.0,0.775940733853654
11,-0.37115098112,1.0,0.7666020696663386
12,-0.396920784896,1.0,0.7606253245864567
13,-0.4175366279168,1.0,0.7568002077353323
14,-0.43402930233344,1.0,0.7543521329506127
15,-0.447223441866752,1.0,0.7527853650883921
16,-0.4577787534934016,1.0,0.7517826336565709
17,-0.4662230027947213,1.0,0.7511408855402054
18,-0.47297840223577703,1.0,0.7507301667457315
19,-0.4783827217886216,1.0,0.7504673067172681
20,-0.4827061774308973,1.0,0.7502990762990516
21,-0.4861649419447178,1.0,0.750191408831393
22,-0.48893195355577423,1.0,0.7501225016520916
23,-0.4911455628446194,1.0,0.7500784010573386
24,-0.49291645027569553,1.0,0.7500501766766967
25,-0.4943331602205564,1.0,0.7500321130730858
26,-0.4954665281764451,1.0,0.750020552366775
27,-0.49637322254115607,1.0,0.750013153514736
28,-0.49709857803292484,1.0,0.750008418249431
29,-0.49767886242633985,1.0,0.7500053876796359
30,-0.49814308994107187,1.0,0.7500034481149669
31,-0.4985144719528575,1.0,0.7500022067935789
32,-0.498811577562286,1.0,0.7500014123478904
33,-0.4990492620498288,1.0,0.7500009039026498
34,-0.499239409639863,1.0,0.750000578497696
35,-0.49939152771189044,1.0,0.7500003702385254
36,-0.4995132221695123,1.0,0.7500002369526563
37,-0.49961057773560985,1.0,0.7500001516497
38,-0.4996884621884879,1.0,0.7500000970558081
39,-0.4997507697507903,1.0,0.7500000621157171
40,-0.49980061580063223,1.0,0.7500000397540589
41,-0.4998404926405058,1.0,0.7500000254425977
42,-0.49987239411240464,1.0,0.7500000162832625
43,-0.4998979152899237,1.0,0.750000010421288
44,-0.499918332231939,1.0,0.7500000066696244
45,-0.4999346657855512,1.0,0.7500000042685596
46,-0.49994773262844094,1.0,0.7500000027318782
47,-0.4999581861027528,1.0,0.750000001748402
48,-0.4999665488822022,1.0,0.7500000011189772
49,-0.49997323910576175,1.0,0.7500000007161455
50,-0.4999785912846094,1.0,0.7500000004583331
51,-0.4999828730276875,1.0,0.7500000002933331
52,-0.49998629842215003,1.0,0.7500000001877333
53,-0.49998903873772005,1.0,0.7500000001201492
54,-0.49999123099017606,1.0,0.7500000000768956
55,-0.4999929847921408,1.0,0.7500000000492131
56,-0.49999438783371264,1.0,0.7500000000314964
57,-0.4999955102669701,1.0,0.7500000000201577
58,-0.49999640821357605,1.0,0.7500000000129009
59,-0.4999971265708608,1.0,0.7500000000082566
60,-0.49999770125668863,1.0,0.7500000000052842
61,-0.4999981610053509,1.0,0.750000000003382
62,-0.4999985288042807,1.0,0.7500000000021644
63,-0.4999988230434246,1.0,0.7500000000013852
64,-0.4999990584347397,1.0,0.7500000000008865
65,-0.4999992467477917,1.0,0.7500000000005673
66,-0.4999993973982334,1.0,0.7500000000003632
67,-0.4999995179185867,1.0,0.7500000000002324
68,-0.4999996143348694,1.0,0.7500000000001488
69,-0.4999996914678955,1.0,0.7500000000000953
70,-0.49999975317431644,1.0,0.750000000000061
71,-0.49999980253945314,1.0,0.750000000000039
72,-0.4999998420315625,1.0,0.750000000000025
73,-0.49999987362525,1.0,0.750000000000016
74,-0.4999998989002,1.0,0.7500000000000102
75,-0.49999991912016,1.0,0.7500000000000066
76,-0.499999935296128,1.0,0.7500000000000042
77,-0.4999999482369024,1.0,0.7500000000000027
78,-0.49999995858952195,1.0,0.7500000000000018
79,-0.4999999668716176,1.0,0.7500000000000011
80,-0.4999999734972941,1.0,0.7500000000000007
81,-0.49999997879783525,1.0,0.7500000000000004
82,-0.4999999830382682,1.0,0.7500000000000002
83,-0.49999998643061455,1.0,0.7500000000000002
84,-0.4999999891444916,1.0,0.7500000000000001
85,-0.4999999913155933,1.0,0.7500000000000001
86,-0.49999999305247467,1.0,0.75
87,-0.49999999444197973,1.0,0.75
88,-0.49999999555358376,1.0,0.75
89,-0.499999996442867,1.0,0.75
90,-0.4999999971542936,1.0,0.75
91,-0.4999999977234349,1.0,0.75
92,-0.4999999981787479,1.0,0.75
93,-0.4999999985429983,1.0,0.75
94,-0.49999999883439866,1.0,0.75
95,-0.4999999990675189,1.0,0.75
96,-0.4999999992540151,1.0,0.75
97,-0.4999999994032121,1.0,0.75
98,-0.4999999995225697,1.0,0.75
99,-0.49999999961805575,1.0,0.75
100,-0.4999999996944446,1.0,0.75
101,-0.49999999975555565,1.0,0.75
102,-0.49999999980444454,1.0,0.75
103,-0.49999999984355564,1.0,0.75
104,-0.4999999998748445,1.0,0.75
105,-0.4999999998998756,1.0,0.75
106,-0.49999999991990046,1.0,0.75
107,-0.49999999993592037,1.0,0.75
108,-0.4999999999487363,1.0,0.75
109,-0.499999999958989,1.0,0.75
110,-0.49999999996719124,1.0,0.75
111,-0.499999999973753,1.0,0.75
112,-0.4999999999790024,1.0,0.75
113,-0.49999999998320194,1.0,0.75
114,-0.4999999999865615,1.0,0.75
115,-0.4999999999892492,1.0,0.75
116,-0.4999999999913994,1.0,0.75
117,-0.4999999999931195,1.0,0.75
118,-0.4999999999944956,1.0,0.75
119,-0.4999999999955965,1.0,0.75
120,-0.4999999999964772,1.0,0.75
121,-0.49999999999718175,1.0,0.75
122,-0.4999999999977454,1.0,0.75
123,-0.49999999999819633,1.0,0.75
124,-0.49999999999855704,1.0,0.75
125,-0.49999999999884565,1.0,0.75
126,-0.4999999999990765,1.0,0.75
127,-0.4999999999992612,1.0,0.75
128,-0.499999999999409,1.0,0.75
129,-0.49999999999952716,1.0,0.75
130,-0.49999999999962175,1.0,0.75
131,-0.4999999999996974,1.0,0.75
132,-0.4999999999997579,1.0,0.75
133,-0.4999999999998063,1.0,0.75
134,-0.49999999999984507,1.0,0.75
135,-0.49999999999987604,1.0,0.75
136,-0.49999999999990086,1.0,0.75
137,-0.4999999999999207,1.0,0.75
138,-0.49999999999993655,1.0,0.75
139,-0.49999999999994926,1.0,0.75
140,-0.4999999999999594,1.0,0.75
141,-0.4999999999999675,1.0,0.75
142,-0.499999999999974,1.0,0.75
143,-0.49999999999997924,1.0,0.75
144,-0.4999999999999834,1.0,0.75
145,-0.49999999999998673,1.0,0.75
146,-0.4999999999999894,1.0,0.75
147,-0.4999999999999915,1.0,0.75
