iteration,x1,x2,f_value
0,1.0,2.0,7.0
1,-0.6000000000000001,0.0,0.3600000000000001
2,-0.12,0.24000000000000005,0.043200000000000016
3,-0.12000000000000002,0.096,0.012096000000000003
4,-0.062400000000000004,0.06720000000000001,0.004216320000000001
5,-0.039360000000000006,0.038400000000000004,0.0015123456000000002
6,-0.023232000000000003,0.023424,0.0005442232320000001
7,-0.014016,0.0139776,0.00019591151616
8,-0.00839424,0.00840192,7.052779192320001e-5
9,-0.005039616,0.00503808,2.5389990936576e-5
10,-0.0030231552,0.0030234624,9.14039617093632e-6
11,-0.001814016,0.00181395456,3.290542598887833e-6
12,-0.0010883850239999998,0.001088397312,1.1845953346936502e-6
13,-0.0006530359295999999,0.0006530334719999999,4.264543204534752e-7
14,-0.0003918205747199999,0.0003918210662399999,1.5352355536180151e-7
15,-0.00023509254143999994,0.00023509244313599993,5.526847993019056e-8
16,-0.00014105548554239997,0.00014105550520319995,1.989665277486628e-8
17,-8.463329918975996e-5,8.463329525759997e-5,7.162794998951767e-9
18,-5.077997794099198e-5,5.077997872742398e-5,2.578606199622633e-9
19,-3.0467987079167987e-5,3.046798692188159e-5,9.282982318641474e-10
20,-1.8280792184586234e-5,1.8280792216043513e-5,3.3418736347109313e-10
21,-1.0968475323334651e-5,1.0968475317043196e-5,1.2030745084959352e-10
22,-6.581085191484209e-6,6.5810851927425e-6,4.331068230585366e-11
23,-3.948651115393841e-6,3.948651115142184e-6,1.559184563010732e-11
24,-2.3691906691356414e-6,2.369190669185973e-6,5.613064426838633e-12
25,-1.4215144015015175e-6,1.421514401491451e-6,2.0207031936619078e-12
26,-8.529086408968838e-7,8.529086408988972e-7,7.274531497182868e-13
27,-5.117451845389356e-7,5.11745184538533e-7,2.6188313389858323e-13
28,-3.070471107232003e-7,3.0704711072328084e-7,9.427792820348995e-14
29,-1.8422826643395238e-7,1.842282664339363e-7,3.3940054153256377e-14
30,-1.1053695986036498e-7,1.105369598603682e-7,1.2218419495172294e-14
31,-6.632217591622027e-8,6.632217591621963e-8,4.398631018262025e-15
32,-3.9793305549731906e-8,3.979330554973203e-8,1.5835071665743292e-15
33,-2.3875983329839192e-8,2.387598332983917e-8,5.700625799667584e-16
34,-1.4325589997903504e-8,1.432558999790351e-8,2.05222528788033e-16
35,-8.595353998742105e-9,8.595353998742104e-9,7.388011036369189e-17
36,-5.157212399245262e-9,5.157212399245263e-9,2.659683973092908e-17
37,-3.0943274395471577e-9,3.0943274395471577e-9,9.574862303134469e-18
38,-1.8565964637282944e-9,1.8565964637282944e-9,3.4469504291284082e-18
39,-1.1139578782369766e-9,1.1139578782369766e-9,1.2409021544862268e-18
40,-6.68374726942186e-10,6.68374726942186e-10,4.467247756150416e-19
41,-4.010248361653116e-10,4.010248361653116e-10,1.60820919221415e-19
42,-2.4061490169918694e-10,2.4061490169918694e-10,5.789553091970939e-20
43,-1.4436894101951217e-10,1.4436894101951217e-10,2.0842391131095385e-20
44,-8.66213646117073e-11,8.66213646117073e-11,7.503260807194337e-21
